results__bestsellers_date,results__published_date,results__display_name,results__normal_list_ends_at,results__books__rank,results__books__primary_isbn10,results__books__primary_isbn13,results__books__description,results__books__title,results__books__author
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,2,307408868,9.78031E+12,"The last voyage of the Lusitania, by the author of “The Devil in the White City.”",DEAD WAKE,Erik Larson
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,3,1627795073,9.78163E+12,Stories of the American West; a companion volume to the Fox News series.,BILL O'REILLY'S LEGENDS AND LIES,David Fisher
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,4,143125478,9.78014E+12,The University of Washington’s eight-oar crew and their quest for gold at the 1936 Berlin Olympics.,THE BOYS IN THE BOAT,Daniel James Brown
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,5,62376330,9.78006E+12,A former member of the Navy SEALs discusses his battlefield experiences during the Iraq war; now a movie.,AMERICAN SNIPER,Chris Kyle with Scott McEwen and Jim DeFelice
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,6,307957659,9.78031E+12,"A woman’s account of a life-changing 1,100-mile hike along the Pacific Crest Trail during the summer of 1995; now a movie.",WILD,Cheryl Strayed
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,7,,9.78148E+12,The actress’s memoir discusses her marriage to Louis Malle and her work on “Murphy Brown.”,A FINE ROMANCE,Candice Bergen
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,8,62248499,9.78006E+12,How the niece of the Scientology leader David Miscavige left the church at 21. ,BEYOND BELIEF,Jenna Miscavige Hill with Lisa Pulitzer
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,9,679603751,9.78068E+12,An Olympic runner’s story of survival as a prisoner of the Japanese in World War II; now a movie.,UNBROKEN,Laura Hillenbrand
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
4/11/2015,4/26/2015,,,,,,,,
